Année,PIB (US$ courants),Indice des prix à la consommation,Taux de chômage,Exportations de biens et services (US$ courants),Importations de biens et services (US$ courants),Population totale,PIB par habitant (US$ courants),Investissements directs étrangers (US$ courants),Dette publique totale (US$ courants),Consommation d'énergie par habitant (kg d'équivalent pétrole),Dépenses de santé par habitant (US$ courants),Dépenses publiques en éducation (% du PIB),Émissions de CO2 par habitant (tonnes métriques),Surface forestière (% de la surface terrestre),Utilisateurs d'Internet (% de la population),Valeur ajoutée de l'agriculture (US$ courants),Valeur ajoutée de l'industrie (US$ courants),Valeur ajoutée des services (US$ courants),Taux d'inflation,Dette publique (% du PIB),Réserves de change (US$ courants),"Taux de mortalité maternelle (pour 100,000 naissances vivantes)","Taux de mortalité infantile (pour 1,000 naissances vivantes)",Prévalence du VIH (% de la population âgée de 15-49 ans),Taux de vaccination contre la rougeole (% des enfants âgés de 12-23 mois),Taux de scolarisation dans l'enseignement primaire (% net),Taux de scolarisation dans l'enseignement secondaire (% net),Taux de scolarisation dans l'enseignement supérieur (% net),Taux d'activité (% de la population âgée de 15 ans et plus),Taux d'emploi (% de la population âgée de 15 ans et plus),Taux d'emploi vulnérable (% de l'emploi total),Taux d'emploi indépendant (% de l'emploi total),Taux d'emploi salarié (% de l'emploi total),Taux d'emploi à temps partiel (% de l'emploi total),Taux d'emploi féminin (% de l'emploi total),Taux d'emploi masculin (% de l'emploi total)
2010,46206091937.9628,100,13.049,22160316333.6594,24115551348.3303,10765980,4291.86120891575,1334497694.56476,25639600000,955.020444028319,237.90208435,5.96306991577148,,4.42475540679712,36.8,3163336593.54478,13641679474.6402,25828140282.2412,3.33897963601069,38.7660002963438,9764265037.07788,44,18.9,,97,1030109,1163833,,47.425,41.237,24.7294364094222,31.4743981161649,68.5255721703474,6.74499142023043,,
2011,48123325825.0739,103.240028420095,18.334,22163031092.1499,26011487992.1124,10886035,4420.64772206537,432666011.578487,28779500000,901.472391003703,267.08099365,,,4.4346035015448,39.1,3646229568.05133,14700774196.0231,27350451028.319,3.24002842009531,42.4807224505219,7785305507.43057,46,18.6,,96,1027970,1152153,,47.632,38.899,22.9421508188555,28.781555514042,71.218444485958,5.8394046951865,,
2012,47311401812.6733,108.001297808887,17.63,21722011893.2679,26323059148.776,11009647,4297.26782454273,1554269128.7808,31420100000,930.468615387941,266.30584717,5.95086002349854,,4.44445159629248,41.4416,3926968061.81221,14250921318.5035,27012303027.354,4.6118443220664,42.5197543010178,8717830200.54899,43,18.4,,96,1046671,,,48.251,39.744,21.6314288117742,28.5503660168043,71.4496339831957,6.91893720503001,,
2013,48685446413.953,113.74290094179,15.934,21854753431.1837,26321908980.2285,11141361,4369.79345826358,1058622582.18395,,934.597577441392,280.64221191,,,4.45429969104016,43.8,3879893491.4302,14185939440.7931,28249083807.1767,5.31623531326689,,7550027499.83122,42,18.2,,94,1063291,1071729,,47.776,40.163,20.7721005897666,27.904314860518,72.095685139482,7.13221427075137,,
2014,50271812920.612,119.004136828432,14.259,21590469318.3324,26724314135.5089,11274288,4458.97895464547,1024754443.57725,,932.694818510934,283.7175293,,,4.46414778578785,46.16,4309128661.25731,13638181630.7597,28909302428.3211,4.62555099534031,,7498010302.87675,41,18,,98,1089220,1019908,,47.614,40.825,21.9616353277043,27.9082919963118,72.0917080036882,5.94665666860753,,
2015,45779494041.9295,124.284792209994,15.159,17579251895.7497,22362683999.2353,11402264,4014.94773686432,970521888.740203,,,246.10754395,6.22044992446899,,4.47399588053553,46.5,4214424979.29013,11397597655.0054,26985082011.0877,4.437371273215,,7559201960.29189,40,17.6,,98,1114883,1007951,,47.496,40.296,19.6584156326618,26.3948009062513,73.6051990937487,6.7363852735895,,
2016,44360072680.4476,128.795583680247,15.557,16987820950.6092,21646548260.6645,11528674,3847.80354448809,622569482.161979,,,237.1728363,,,4.48384397528321,49.6,3781881516.71785,10649724096.4175,26483879856.5944,3.62939937384381,,6137077790.03259,38,17.1,,96,1139314,1047035,,47.719,40.296,20.4302584679168,26.6455263581583,73.3544736418417,6.2152965382339,,
2017,42163530590.9462,135.633145958134,15.33,17593023135.6624,22802525393.4303,11650498,3619.03247319953,810936482.841998,,,220.80870056,,,4.4936920700309,55.5002,3788834123.81041,9960755138.101,25411079078.7067,5.30884839565844,,6143986079.65126,38,16.3,,98,1170470,,,47.488,40.208,18.3133154215715,24.5472916050001,75.4527083949999,6.23397618342858,,
2018,42686504459.801,145.544662556429,15.459,19416540385.2933,24924183950.308,11765514,3628.10366464236,991385678.114219,,,212.39416504,,,4.50354016477858,64.1908,4221065886.57458,10110821586.4265,25381025945.0135,7.30759176031652,,5661370258.89029,39,15.4,,96,1201736,,,48.61,41.095,18.6544885350353,25.3439765455479,74.6560234544521,6.68946040404821,,
2019,41905642418.825,155.325373517033,17.153,19256190207.7846,23627733194.1128,11875081,3528.87213306798,815012991.372017,,,209.52612305,6.1737322807312,,4.51338825952626,66.7,4092613462.29408,9736906584.67922,25118958245.0852,6.72007532863799,,7919981404.82365,40,14.4,,98,,,,49.68,41.158,19.1025556261642,26.2535933455693,73.7464066544307,7.15103771940513,,
2020,42491780918.361,164.076639849227,17.656,16145881854.3016,19688105141.664,11974057,3548.65363663803,623075275.921853,,,246.5980835,7.26507568359375,,4.52323635427395,68.5564,4415618495.22714,9140834843.92812,25575797960.2881,5.63415115897625,,9810630874.82627,37,13.3,,98,1269412,,,46.978,38.683,19.192710952447,26.0902404928067,73.9097595071933,6.8975583581142,,
2021,46812290143.344,173.439427529047,16.611,19673161286.2131,24375310211.2138,12048622,3885.28166485296,547411353.644915,,,265.46484375,6.67984676361084,,4.53308444902163,68.3155,4749707189.24217,10957724675.2243,28022266858.0448,5.706350208307,,8845557076.37304,,12.3,,95,1303758,,,46.544,38.813,18.8582112605254,25.7160224193727,74.2840060778979,6.8578111588472,,
2022,44579761022.8993,187.846106359388,15.3,22476730329.4792,27649199652.1627,12119334,3678.40023411347,643213141.178691,,,,6.8049898147583,,4.54293254376931,73.8379,4812779799.67149,11084704821.4113,27447357402.8149,8.30646124447623,,8094326708.95378,,11.5,,95,1321163,,,46.404,39.304,18.8693634349946,25.6175232014889,74.3824489045628,6.74815976649418,,
2023,48529595416.6533,205.370262060998,15.106,25178795584.0227,26834143358.3315,12200431,3977.69516639644,727083940.246083,,,,6.73398876190186,,,,4597315652.25788,11410312530.1748,30140300621.198,9.32899597507865,,9239745488.47506,,,,96,1337527,,,45.781,38.865,18.8896408810868,25.496368342834,74.503631657166,6.60672746174724,,
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
